Parent_ID,Parent_Name,Child_SKU,Child_Name,Child_Code,Child_Dims,variationSize,variationColor,productIdentifier,Match_Score,Match_Method
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700256NH,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte Silver,IM-7,"(49, 63)",49x63cm,Matte Silver,IM-007,95.0,ID_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM007007RKRQ,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte IGOS,IM-7,"(49, 63)",49x63cm,Matte IGOS,IM-007,100.0,Sample_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700AYVPN,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte Copper,IM-7,"(49, 63)",49x63cm,Matte Copper,IM-007,95.0,ID_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700G3W0P,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte Gold,IM-7,"(49, 63)",49x63cm,Matte Gold,IM-007,95.0,ID_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700KXNG2,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte IGOB,IM-7,"(49, 63)",49x63cm,Matte IGOB,IM-007,100.0,Sample_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700M6RA5,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte ISOG,IM-7,"(49, 63)",49x63cm,Matte ISOG,IM-007,100.0,Sample_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700MEKR2,IM-007 Ayetel Kürsi 2 Parça 49x63cm Matte ISOB,IM-7,"(49, 63)",49x63cm,Matte ISOB,IM-007,100.0,Sample_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM00700MWDJV,IM-007 Ayetel Kürsi 2 Parça 49x63cm Black,IM-7,"(49, 63)",49x63cm,Black,IM-007,95.0,ID_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM0410002E5M,IM-041 İhlas Suresi Büyük Lafızlı Klasik 50x65cm Matte Silver,IM-41,"(50, 65)",50x65cm,Matte Silver,IM-041,51.7,Fuzzy_Match
1.0,IM-007 Ayetel Kürsi 2 Parça Large (Mat-Boyalı),IM041003PXXG,IM-041 İhlas Suresi Büyük Lafızlı Klasik 50x65cm Black,IM-41,"(50, 65)",50x65cm,Black,IM-041,51.7,Fuzzy_Match
